Filename,Run Count,Last Run Date
"C:\Users\mino29\AppData\LocalLow\Connection\SummerClover\Data\Saves\GlobalSave.nson",1,133791653025930280
"C:\AMD\AMD-Software-Installer\Bin64\7z.exe",1,133790049094404028
"C:\Program Files\EverythingToolbar\EverythingToolbar.Launcher.exe",1,133787518563608830
